"","","","","","","Constants","Constants","Constants","Constants","Constants","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Responses","Responses","Responses","Composites","Objectives","","","","",
"Sampling","Iteration","Experiment","Marked","Category","Type","fa2","fa1","fa3","F10000","T","a1","a2","s11","s12","s13","s14","s15","s21","s22","s23","s24","s25","CurveMatching1","Curvematching1000","_10000ppms_Curvematching1000","StandardComposite1","StandardComposite1","Multi-Objective","Max Constr. Violation","Successful run","Simulation Location",
"Sampling1",1,27,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.2999999999999997e-002,5.5000000000000007e-002,6.2199999999999998e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.7000000000000005e-002,4.5999999999999999e-002,5.7999999999999996e-002,3.4000000000000002e-002,4.0000000000000001e-003,5.8701789865186288e-002,2.7764697978720321e-002,6.8914751163669838e-002,1.5538123900757644e-001,1.5538123900757644e-001,1.5538123900757644e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,28,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,5.5000000000000000e-002,4.7000000000000000e-002,5.5000000000000007e-002,5.5000000000000000e-002,4.0000000000000008e-002,1.4999999999999999e-002,3.7000000000000005e-002,4.5999999999999999e-002,5.7999999999999996e-002,3.4000000000000002e-002,4.0000000000000001e-003,8.4363188020876001e-002,4.9671244427324963e-002,2.0932159531315725e-001,3.4335602776135821e-001,3.4335602776135821e-001,3.4335602776135821e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,29,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,1.0000000000000001e-001,4.2999999999999997e-002,5.0000000000000003e-002,6.2199999999999998e-002,4.0000000000000008e-002,6.9999999999999993e-003,3.3000000000000002e-002,3.9999999999999994e-002,5.7999999999999996e-002,3.4000000000000002e-002,4.0000000000000001e-003,2.4487098316238454e-001,6.8012167952970892e-001,1.0251624581392567e+000,1.9501551208313501e+000,1.9501551208313501e+000,1.9501551208313501e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,30,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,5.5000000000000000e-002,4.7000000000000000e-002,5.0000000000000003e-002,6.2199999999999998e-002,4.0000000000000008e-002,6.9999999999999993e-003,3.7000000000000005e-002,4.5999999999999999e-002,6.2000000000000000e-002,3.4000000000000002e-002,4.0000000000000001e-003,4.6532803492099227e-002,1.5436540830771254e-002,3.6214797611781084e-002,9.8184141934651567e-002,9.8184141934651567e-002,9.8184141934651567e-002,0.0000000000000000e+000,"yes","",
"Sampling1",1,31,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,9.9999999999999950e-003,4.7000000000000000e-002,5.5000000000000007e-002,6.2199999999999998e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.3000000000000002e-002,3.9999999999999994e-002,5.7999999999999996e-002,2.3000000000000000e-002,4.0000000000000001e-003,2.4487323064666822e-001,6.8012166989807743e-001,7.1981291460583274e-001,1.6448078151505783e+000,1.6448078151505783e+000,1.6448078151505783e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,32,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,9.9999999999999950e-003,4.2999999999999997e-002,5.0000000000000003e-002,6.2199999999999998e-002,4.0000000000000008e-002,1.4999999999999999e-002,3.3000000000000002e-002,3.9999999999999994e-002,6.2000000000000000e-002,3.4000000000000002e-002,7.0000000000000001e-003,2.4497616990030971e-001,6.8012167952970892e-001,6.8916248073923569e-001,1.6142603301692544e+000,1.6142603301692544e+000,1.6142603301692544e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,33,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,9.9999999999999950e-003,4.2999999999999997e-002,5.5000000000000007e-002,5.8599999999999999e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.3000000000000002e-002,4.5999999999999999e-002,5.9999999999999998e-002,3.4000000000000002e-002,4.0000000000000001e-003,3.1723078266834204e-001,3.0060969815615957e-001,9.5125641125012206e-002,7.1296612194951381e-001,7.1296612194951381e-001,7.1296612194951381e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,34,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,9.9999999999999950e-003,4.7000000000000000e-002,5.0000000000000003e-002,6.2199999999999998e-002,4.0000000000000008e-002,1.4999999999999999e-002,3.7000000000000005e-002,4.2999999999999997e-002,6.2000000000000000e-002,2.3000000000000000e-002,7.0000000000000001e-003,2.4464469685330056e-001,6.7988631144559764e-001,8.6516385198858625e-001,1.7896948602874845e+000,1.7896948602874845e+000,1.7896948602874845e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,35,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,9.9999999999999950e-003,4.2999999999999997e-002,5.5000000000000007e-002,6.2199999999999998e-002,4.0000000000000008e-002,6.9999999999999993e-003,3.3000000000000002e-002,4.5999999999999999e-002,6.2000000000000000e-002,2.3000000000000000e-002,1.0000000000000000e-002,3.5016894369587374e-002,5.1810979848765419e-002,7.2168744337482479e-002,1.5899661855583527e-001,1.5899661855583527e-001,1.5899661855583527e-001,0.0000000000000000e+000,"yes","",
"Sampling1",2,1,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000000e-002,1.0000000000000001e-001,4.2999999999999997e-002,5.0000000000000003e-002,6.2199999999999998e-002,4.0000000000000001e-002,1.4999999999999999e-002,3.6999999999999998e-002,4.5999999999999999e-002,5.8000000000000003e-002,2.3000000000000000e-002,1.0000000000000000e-002,2.5470109240399857e-001,1.7693346491734774e-001,2.8299794607540185e-001,7.1463250339674822e-001,7.1463250339674822e-001,7.1463250339674822e-001,0.0000000000000000e+000,"yes","",
"Sampling1",2,2,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,7.7687598344560099e-002,2.8393935849472175e-002,4.3004940188140557e-002,5.0113107112625510e-002,6.1938271011970178e-002,3.6284301618957841e-002,8.7557972512962226e-003,3.6573689761689662e-002,4.1059985387546377e-002,6.1370192548273327e-002,2.3085704707950763e-002,9.6824795792957684e-003,2.2448025492257567e-001,2.3743883033194049e-001,6.1745926042514498e-002,5.2366501129703069e-001,5.2366501129703069e-001,5.2366501129703069e-001,0.0000000000000000e+000,"yes","",
"Sampling1",2,3,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.2320356930145812e-002,8.7124581725821451e-002,4.6411629124134900e-002,5.0044689257701502e-002,6.0905167712259803e-002,3.2772581868292308e-002,7.9342577201158299e-003,3.3440185481981216e-002,4.0613700241426048e-002,6.1589947052002769e-002,2.6985198654602027e-002,9.9568903689282277e-003,3.0915682713896758e-001,2.2061729823828122e-001,1.2868104362593290e-002,5.4264222973984211e-001,5.4264222973984211e-001,5.4264222973984211e-001,0.0000000000000000e+000,"yes","",
"Sampling1",2,4,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0720270903583851e-002,5.7916590759791553e-002,4.5095162971425004e-002,5.1354121838654065e-002,5.7655924026590810e-002,3.1406899282796094e-002,1.4651742606957252e-002,3.3404247572976081e-002,4.5810523179679763e-002,5.8038510246945799e-002,2.3106649547640370e-002,9.8737799438402135e-003,1.2372775985192616e-001,9.3096511418554337e-002,6.8591785572585218e-002,2.8541605684306570e-001,2.8541605684306570e-001,2.8541605684306570e-001,0.0000000000000000e+000,"yes","",
"Sampling1",2,5,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,8.0403647062052372e-002,2.8757029224771989e-002,4.3001803812442722e-002,5.3777772948491044e-002,5.7452681103912925e-002,3.9514231026432027e-002,7.8369027348100164e-003,3.4252843807304589e-002,4.0603381976555539e-002,5.8022475653986903e-002,2.3603534333971769e-002,5.9336423764401710e-003,2.4462274299100653e-001,6.8010062072809030e-001,1.0177208359499275e+000,1.9424441996690243e+000,1.9424441996690243e+000,1.9424441996690243e+000,0.0000000000000000e+000,"yes","",
"Sampling1",2,6,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.1281128160550056e-002,7.0486957662976565e-002,4.3272532488752499e-002,5.4263719025019475e-002,5.7136811445623832e-002,3.6928896146495013e-002,1.4977614374112849e-002,3.3482558639310378e-002,4.5837791409264791e-002,5.9135619274060330e-002,3.0570672988159981e-002,4.8257525242242586e-003,2.1560565362252193e-001,8.0948483916655281e-002,6.9614415956784109e-002,3.6616855349596134e-001,3.6616855349596134e-001,3.6616855349596134e-001,0.0000000000000000e+000,"yes","",
"Sampling1",2,7,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,8.0691508337178780e-002,6.7554233721334608e-002,4.6557208387002752e-002,5.0499272404235192e-002,5.6825625525415160e-002,3.9730992116309795e-002,7.8809684683417563e-003,3.6367061624516916e-002,4.0938229919527350e-002,6.0888058812757738e-002,2.3999562938844497e-002,5.0091544312684958e-003,2.4491908524935510e-001,6.8007490923603720e-001,1.0230425804198899e+000,1.9480365749052821e+000,1.9480365749052821e+000,1.9480365749052821e+000,0.0000000000000000e+000,"yes","",
"Sampling1",2,8,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.1112341685268003e-002,2.9777281330781967e-002,4.3434644408246272e-002,5.4390764901583399e-002,5.6619142196266917e-002,3.1587122839338455e-002,1.0266462382343258e-002,3.3816866369318868e-002,4.0785896200294845e-002,5.9850634452980639e-002,2.8539638684604657e-002,9.9079449781226004e-003,2.4454760009114457e-001,6.4225958891646884e-001,1.7734206481774345e-001,1.0641492538253570e+000,1.0641492538253570e+000,1.0641492538253570e+000,0.0000000000000000e+000,"yes","",
